Fold1,Mean±Std
86.67,86.67±0.00
66.67,66.67±0.00
83.33,83.33±0.00
93.33,93.33±0.00
36.67,36.67±0.00
53.33,53.33±0.00
53.33,53.33±0.00
66.67,66.67±0.00
86.67,86.67±0.00
80.00,80.00±0.00
43.33,43.33±0.00
86.67,86.67±0.00
93.33,93.33±0.00
76.67,76.67±0.00
60.00,60.00±0.00
71.11,71.11±17.75
