Fold1,Mean±Std
86.67,86.67±0.00
30.00,30.00±0.00
90.00,90.00±0.00
93.33,93.33±0.00
36.67,36.67±0.00
43.33,43.33±0.00
50.00,50.00±0.00
73.33,73.33±0.00
83.33,83.33±0.00
86.67,86.67±0.00
36.67,36.67±0.00
93.33,93.33±0.00
90.00,90.00±0.00
63.33,63.33±0.00
66.67,66.67±0.00
68.22,68.22±22.47
