Fold1,Mean±Std
83.33,83.33±0.00
56.67,56.67±0.00
83.33,83.33±0.00
90.00,90.00±0.00
40.00,40.00±0.00
40.00,40.00±0.00
50.00,50.00±0.00
73.33,73.33±0.00
73.33,73.33±0.00
86.67,86.67±0.00
40.00,40.00±0.00
90.00,90.00±0.00
93.33,93.33±0.00
63.33,63.33±0.00
63.33,63.33±0.00
68.44,68.44±18.85
