Fold1,Mean±Std
80.00,80.00±0.00
50.00,50.00±0.00
93.33,93.33±0.00
86.67,86.67±0.00
40.00,40.00±0.00
50.00,50.00±0.00
50.00,50.00±0.00
73.33,73.33±0.00
83.33,83.33±0.00
83.33,83.33±0.00
46.67,46.67±0.00
100.00,100.00±0.00
90.00,90.00±0.00
70.00,70.00±0.00
60.00,60.00±0.00
70.44,70.44±18.85
